S.No.,Name,CMP Rs.,Mar Cap Rs.Cr. ,CMP / FCF,P/E,PE / Industry PE %,PEG,Debt / Eq,ROCE %,ROE %,Qtr Sales Var %,Qtr Profit Var %,NP Qtr Rs.Cr.,Profit growth %,Net EPS Growth %,OPM %,PAT Growth %,PAT Prev Ann Rs.Cr.,QoQ Sales %
1,Ingersoll-Rand,4575.3,14443.31,85.46,52.16,1.3,1.51,0.02,60.02,45.01,19.39,15.75,71.89,4.98,-3.22,24.58,24.5,222.4,41.48
2,Atlanta Electric,1646.1,12657.95,760.12,81.05,2.1,0.9,0.46,50.2,40.8,79.71,125.33,49.42,87.34,26.3,17.62,146.61,63.33,48.86
3,Waaree Renewab.,1028.3,10729.88,66.63,22.41,0.74,0.21,0.16,83.61,68.89,131.31,60.69,155.71,108.05,0,19.24,108.05,230.09,29.53
4,Kirl.Pneumatic,1560.2,10134.78,73.58,37.68,0.94,1.04,0,30.36,22.92,21.13,68.58,144,26.02,0,20.49,26.02,213.43,74.89
5,Campus Activewe.,250.89,7667.03,50.45,54.38,1.51,15.23,0.48,20.1,17.22,14.34,37.03,63.68,18.57,16.37,16.29,57.4,89.57,52.25
6,Knowledge Marine,2126.9,5199.02,-265.77,81.5,1,2.36,0.61,24.67,25.77,56.24,90.78,32.9,38.28,21.47,40.3,108.94,30.53,79.41
7,Goldiam Intl.,435.95,4922.65,106.11,31.44,1.4,8.23,0.02,24.59,17.13,14.33,37.52,68.39,40.29,29.11,19.82,72.48,90.77,65.82
8,GNG Electronics,421.25,4802.74,-95.93,36.38,1.61,0.62,0.57,20.3,26.83,42.98,185.76,42.15,91.81,0,10.37,91.81,68.83,33.75
9,Bondada Engineer,355.3,3967.69,-126.76,19.5,1.11,0.15,0.42,38.66,35.68,27.93,11.39,62.88,84.41,0,11.49,84.41,110.34,28.3
10,Indo Thai Sec.,297.05,3253.35,-78.51,49.17,2.28,0.38,0.09,34.58,28.57,555.38,1114.73,26.18,701.94,0,82.88,701.94,8.25,38.36
11,K.P. Energy,405.2,2738.98,-41.87,15.1,0.49,0.24,0.84,39.22,43.37,57.48,71.85,78.69,60.08,0,21.34,60.08,113.32,83.15
12,D.P. Abhushan,1105.6,2523.85,646.35,13.54,0.6,0.33,0.42,33.64,35.06,12.75,96.44,73.35,79.64,64.59,8.05,201.24,61.87,26.32
13,KP Green Engg.,460.35,2301.75,-17.65,16.95,0.44,0.14,0.76,36.69,34.75,65.06,66.47,77.44,83.48,0,19.66,83.48,74.03,34.1
14,Advait Energy,2096.6,2293.13,355.96,49.94,1.95,0.62,0.27,26.87,22.49,114.44,69.63,17.39,71.41,47.48,10.96,110.55,21.81,34.53
15,Garuda Cons,199.44,1855.62,-52.65,17.48,0.94,0.46,0,30.09,22.09,125.09,156.18,32.97,133.22,113.27,30.28,191.33,36.44,20.26
S.No.,Name,CMP Rs.,Mar Cap Rs.Cr. ,CMP / FCF,P/E,PE / Industry PE %,PEG,Debt / Eq,ROCE %,ROE %,Qtr Sales Var %,Qtr Profit Var %,NP Qtr Rs.Cr.,Profit growth %,Net EPS Growth %,OPM %,PAT Growth %,PAT Prev Ann Rs.Cr.,QoQ Sales %
16,Disa India,12268,1784.02,64.93,29.75,0.98,2.2,0,29.25,21.74,31.8,67.29,15.42,18.12,6.98,15.92,38.31,43.36,24.22
17,Krishna Defence,1193.5,1782.3,-135.44,53.59,0.79,0.5,0,24.31,18.44,23.42,163.73,10.18,51.69,18.72,17.08,176.31,9.75,31.64
18,Auto.Corp.of Goa,2056.15,1251.91,25.49,17.31,0.58,0.42,0.03,29.67,25.73,24.8,26.6,21.32,55.21,0,9.18,55.21,46.6,35.16
19,3B Blackbio,1294.1,1110.68,38.31,19.34,0.52,1.38,0,25.75,19.4,98.31,62.16,22.44,19.52,20.41,43.57,78.97,32.09,48.53
20,Prostarm Info,168.14,989.92,-60.44,30.16,0.99,0.8,0.06,29.95,30,110.8,104.88,15.96,27.43,-15.59,13.43,37.04,23.95,146.62
21,Macfos,935.3,968.83,-76.89,37.77,0.96,0.74,0.37,33.76,30.85,63.4,101.43,9.85,42.98,0,11.7,42.98,17.94,29.43
22,Creative Newtech,631.95,948.98,-89.91,14.33,0.48,0.34,0.39,21.13,18.13,38.68,36.91,23.37,10.86,43.32,3.11,50.32,44.06,39.38
23,R M Drip & Sprin,19.46,833.33,-45.01,23.63,1.02,0.12,0.41,44.66,39.7,55.6,37.3,14.06,342.33,46.43,29.64,551.94,5.41,139.38
24,Radhika Jeweltec,69.54,820.57,-69.27,10.47,0.47,0.34,0.13,25.78,20.46,3.65,34.8,30.64,35.48,30.45,18.64,58.27,49.53,60.53
25,Utssav CZ Gold,254.85,615.41,-19.89,13.8,0.61,0.14,0.88,21.8,31.5,67.09,198.07,29.42,177.43,76.43,8.07,264.16,12.25,31.4
26,RBZ Jewellers Lt,152,608,-19.16,11.76,0.52,0.3,0.55,20.39,17.15,16.78,33.16,17.43,56.94,33.2,14.6,139.48,21.58,56
