S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,CMP / BV,P/E,PEG ,Profit growth %,Qtr Profit Var %,Debt / Eq,CMP / FCF,Down %,ROCE %,ROE %,1Yr return %,PAT 12M Rs.Cr.,EPS YoY Growth %,EPS Quarter Growth %
1,Aster DM Health.,756.6,39201.04,8.57,96.04,-73.31,36.6,41.97,0.49,-334.46,2.57,11.4,10.7,36.62,408.16,-93.04,71.52
2,Anlon Healthcare,13.91,739.34,3.45,26.25,0.06,112.42,306.83,0.27,-74.58,19.46,24.83,40.45,,20.52,-15,-266.67
3,Insolation Ener,138.14,3044.53,4.43,17.18,0.11,42.56,173.57,0.37,824.35,51.01,34.73,34.87,-46.17,145,147.37,173.81
4,Lupin,2281.8,104327.52,4.65,18.1,0.13,77.51,101.49,0.29,32.58,8.51,30.32,29.08,15.31,5764.93,62.28,88.77
5,Waaree Renewab.,957.1,9986.94,10.69,20.86,0.2,108.05,60.69,0.16,62.02,29.55,83.61,68.89,-4.77,478.7,108.74,65.89
6,K.P. Energy,359.25,2428.38,4.64,13.39,0.22,60.08,71.85,0.84,-37.12,38.47,39.22,43.37,-22.46,181.4,55.23,69.43
7,Dynamic Cables,300.05,1454,3.18,17.22,0.43,30.19,2.59,0.09,266.04,43.04,26.69,20.32,-26.67,84.44,30.46,2.67
8,BSE,4193.8,170813.09,25.6,68.74,0.55,78.5,61.47,0,95.54,2.44,58.03,44.79,71.32,2485.03,87.78,60.89
9,Kalyan Jewellers,352.4,36393.76,5.77,26.41,0.59,92.15,118.27,0.97,39.14,42.95,20.52,24.8,-36.34,1378.16,88.74,118.13
10,Quality Power El,1124.1,8705.49,16.06,71.74,0.89,90.43,72.95,0.07,1559.24,22.11,31.53,25.11,162.67,121.34,83.49,74.5
11,Pricol Ltd,556.65,6784.53,5.41,27.05,0.94,53.16,109.53,0.3,97.93,19.9,25.93,22.09,25.77,250.8,50.22,109.41
12,Kirl.Pneumatic,1607.3,10440.73,8.35,38.82,1.07,26.02,68.58,0,75.81,3.27,30.36,22.92,28.28,268.97,22.32,78.5
13,Apar Inds.,12782,51343.14,10.58,51.78,1.07,22.79,29.8,0.14,247.65,2.79,32.7,19.5,64.77,991.63,17.99,19.43
14,Acutaas Chemical,2951.2,24161.81,14.61,67.82,1.09,124.49,110.88,0.02,-240.41,2.44,31.56,24.05,152.5,356.26,124.51,110.88
15,Garware Hi Tech,5353.4,12437.23,4.68,36.77,1.34,2.12,39.09,0.01,68.29,6.06,18.02,13.45,26.99,338.23,2.12,39.09
16,Persistent Systems,4970.3,78406.48,10,40.58,1.47,42.29,33.73,0.06,67.56,24.68,34.43,27.3,-12.22,1932.09,30.58,31.11
17,eClerx Services,1577.7,14838.38,5.79,21.01,1.54,36.05,24.45,0.15,25.35,36.83,34.81,29.02,-6,706.21,32.25,26.05
18,Nippon Life Ind.,1080.4,68960.8,14.8,45.09,1.59,18.89,28.84,0.02,73.49,3.96,43.8,34.48,48.97,1529.38,18.25,28.3
19,Bajaj Finance,916.55,570639.84,5,29.71,1.6,15.27,21.99,3.82,-8.28,16.87,10.82,18.23,-0.84,19208.82,14.16,21.78
20,Polycab India,9263.5,139471.12,11.61,52.2,1.74,38.37,6.34,0.02,115.26,0.57,34.32,24.48,57.45,2672.03,32.17,6.25
21,Kirloskar Oil,1671,24290.94,6.71,40.93,1.81,33.76,42.9,1.48,-58.44,5.86,14.72,17.7,95.79,593.51,17.28,20.82
22,APL Apollo Tubes,1880.5,52213.66,9.86,43.4,1.87,62.47,20.89,0.09,63.61,18.29,31.64,25.31,2.75,1203.08,58.83,20.83
23,Fortis Health.,960.4,72506.18,7.33,68.48,2.57,26.04,22.42,0.35,151.4,13.09,13.47,11.26,33.57,1058.75,34.5,44.26
24,Solar Industries,18132,164076.57,26.14,97.81,3.41,33.63,69.95,0.24,393.32,3.03,36.79,31.46,18.25,1677.55,38.71,69.95
25,Adani Power,219.32,422951.92,6.51,32.95,5.46,-0.9,52.34,0.84,67.82,6.43,17.29,21.16,98.23,12834.3,-0.75,51.82
26,RACL Geartech,1397.5,1647.38,5.03,39.56,19.88,52.3,91.13,0.7,-89.56,17.4,12.54,12.03,44.1,41.64,-2.9,74.96
