S.No.,,Name,CMP Rs.,Mar Cap Rs.Cr.,CMP / BV,P/E,PEG,Profit growth %,Qtr Profit Var %,Debt / Eq,CMP / FCF,Down %,ROCE %,ROE %,1Yr return %,PAT 12M Rs.Cr.,EPS YoY Growth %,EPS Quarter Growth %
1,,Krishna Defence,1094.6,1634.61,8.6,42.88,0.46,73.98,64.44,0.01,131.88,16.63,30.75,23.72,39.05,38.12,63.65,54.89
2,,Sai Life,1145.2,24286.23,9.76,68.43,0.3,106.96,17.84,0.12,-1305.66,3.36,19.55,15.39,51.29,354.9,101.96,16.04
3,,C P C L,1096.9,16360.37,1.47,5.27,-1.25,1349.25,202.57,0.18,10.2,5.42,35.11,32.13,62.22,3102.7,1348.96,202.53
4,,Astra Microwave,1316.2,12503.35,9.51,64.79,1.6,29.58,44.21,0.22,-400.04,8.15,20.25,15.99,20.16,192.97,25.66,44.19
5,,Multi Comm. Exc.,2890.5,73682.95,25.88,55.34,0.51,137.77,291.09,0,53.73,16.94,71.37,56.27,118.91,1331.55,137.8,291.34
6,,Anand Rathi Shar,528.7,3332.51,2.45,25.28,0.51,26.9,125.15,0.62,6.63,33.51,19.82,14.18,,131.82,-10.21,59.29
7,,Transrail Light,485.05,6524.34,2.85,15.68,0.28,27.8,-23.76,0.3,63.52,43.32,29.18,19.99,-20.29,415.97,23.55,-23.75
8,,Ramco Inds.,285.6,2472.19,0.57,8.22,0.23,66.17,128.93,0.04,24.08,28.25,4.68,7.11,11.12,300.78,69.24,145.5
9,,SRM Contractors,509.7,1168.11,3.15,10.52,0.13,101.89,124.67,0.36,-26.74,21.86,37.14,34.34,14.97,111.02,101.88,124.57
10,,Sudeep Pharma,780.5,8820.99,9.98,51.02,,24.6,10.61,0.17,-523.79,4.39,28.07,25.16,,172.89,7.29,-4.63
11,,Hitachi Energy,36380,162139.51,31.33,157.74,1.3,167.37,79.71,0.02,214.98,6.24,29.02,21.89,88.52,1027.86,157.26,79.69
12,,TD Power Systems,1230.7,19254.78,17.94,80.64,2.27,36.73,36.16,0.02,1293.64,10.81,33.43,24.72,136.26,238.77,36.67,36.28
13,,Eicher Motors,7100.5,194755.09,7.76,35.04,1.46,17.25,11.58,0.02,62.17,13.75,30.52,23.96,33.13,5558.29,16.43,11.53
14,,RACL Geartech,1268.4,1504.14,4.25,32.19,4.72,78.94,76.16,0.66,-206.35,25.03,16.62,16.09,34.25,46.72,66.39,58.8
15,,Anlon Healthcare,13.59,715.61,3.44,25.73,0.38,35.53,-41.2,0.22,-46.73,21.31,22.38,19.17,,27.81,1.96,-57.14
16,,Solar Industries,18203,164471.62,26.24,98.04,3.42,33.63,69.95,0.24,394.86,3.59,36.79,31.46,13.03,1677.55,38.71,69.95
17,,Aster DM Health.,720.95,37369.33,8.16,91.56,-69.89,36.6,41.97,0.49,-318.7,7.16,11.4,10.7,28.9,408.16,-93.04,71.52
18,,Fortis Health.,929.2,70041.33,7.09,66.16,2.48,26.04,22.42,0.35,146.49,15.91,13.47,11.26,31.56,1058.75,34.5,44.26
19,,Bajaj Finance,889.05,555690.45,4.85,28.93,1.56,15.27,21.99,3.82,-8.03,19.36,10.82,18.23,-3.16,19208.82,14.16,21.78
