"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACUTAAS",17,2591.91,3015.85,44062.4,51269.45,7207.05,16.36,-3.88,""
"ADANIPOWER",459,81.93,232.25,37606.6,106602.75,68996.15,183.47,-4.62,""
"APARINDS",9,10919.56,12801,98276,115209,16933,17.23,-2.42,""
"DYCL",3,331.4,320.15,994.2,960.45,-33.75,-3.39,0.83,""
"ECLERX",25,1546.02,1476.6,38650.6,36915,-1735.6,-4.49,-2.33,""
"KPEL",81,362.72,350.55,29380.65,28394.55,-986.1,-3.36,-1.97,""
"MCX",25,3013,2890.15,75325,72253.75,-3071.25,-4.08,-2.21,""
"NAM-INDIA",61,904.64,1092.9,55182.85,66666.9,11484.05,20.81,-0.66,""
"PERSISTENT",11,4862.4,5399.7,53486.4,59396.7,5910.3,11.05,3.93,""
"POLYCAB",7,7014.14,9480.1,49099,66360.7,17261.7,35.16,-0.07,""
"PRICOLLTD",87,557.57,562.55,48508.9,48941.85,432.95,0.89,0.08,""
"WAAREERTL",56,960.18,972.2,53770.2,54443.2,673,1.25,-0.18,""
