"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIPOWER",765,62.4,193.19,47735.2,147790.35,100055.15,209.6,5.32,""
"APARINDS",9,10919.56,11250,98276,101250,2974,3.03,0.35,""
"BEL",121,425.76,455.65,51517.15,55133.65,3616.5,7.02,1.79,""
"DYCL",182,277.65,322.33,50531.7,58664.06,8132.36,16.09,2.38,""
"ECLERX",16,1497.79,1549.85,23964.6,24797.6,833,3.48,4.01,""
"EICHERMOT",9,6799.17,7139,61192.5,64251,3058.5,5,0.15,""
"KEI",11,4408.45,4647.4,48493,51121.4,2628.4,5.42,1.06,""
"LIQUIDCASE",290,113.52,113.63,32921.56,32952.7,31.14,0.09,0.01,""
"NAM-INDIA",55,886.02,965,48731.35,53075,4343.65,8.91,1.35,""
"PERSISTENT",5,5250.48,5499.25,26252.4,27496.25,1243.85,4.74,0.18,""
"POLYCAB",10,7102.6,7903.5,71026,79035,8009,11.28,1.44,""
"TATAGOLD",3458,15.77,14.74,54546.95,50970.92,-3576.03,-6.56,0.34,""
