S.No.,Name,CMP Rs.,Mar Cap Rs.Cr. ,CMP / BV,P/E,PEG,EPS Growth %,PAT Growth %,EBITDA Growth %,Sales growth %,Qtr Sales Var %,Qtr Profit Var %,Down %,ROCE %,1Yr return %,ROE 3Yr %
1,Rajesh Power,835,1503.64,3.86,10.92,0.06,57.55,59.42,58.26,51.87,30.45,32.19,49.05,48.56,-35.02,44.33
2,CFF Fluid,740.95,1554.08,5.84,39.65,0.7,52.57,64.36,44.93,43.4,59.64,104.8,13.84,23.47,15.17,19.11
3,Garuda Cons,170.1,1582.62,3.52,12.91,0.29,146.17,146.06,146.67,135.84,84.15,90.8,31.81,41.81,54.63,29.03
4,Solarworld Ene.,195.05,1690.58,1.97,13.99,0.14,33.78,56.58,37.73,152.61,235.47,419.7,49.86,23.8,,30.47
5,Frontier Springs,1487.05,1756.97,9.65,28.66,0.28,76.68,79.43,72.55,39.23,17.78,42.28,20.48,50.92,11.05,31.6
6,Krishna Defence,1195.7,1785.53,9.44,46.86,0.5,63.65,73.98,67.95,25.97,42.18,64.44,8.93,30.75,35.53,19.76
7,KP Green Engg.,381.65,1908.25,4.18,14.05,0.11,84.69,83.48,124.45,79.33,65.06,66.47,39.1,36.69,-33.27,29.34
8,KMC Speciality,117.55,1917.21,9.07,40.97,2.01,119.08,118.16,52.93,32.03,34.99,223.67,5.85,26.04,72.64,20.97
9,Yash Highvoltage,701.1,2001.68,10.86,51.45,1.02,74.4,82.16,77.13,56.63,46.53,68.89,19.69,28.66,123.23,24.4
10,Shringar House,211.55,2040.03,3,17.67,0.25,41.44,89.05,71.82,57.07,106.5,123.46,20.62,26.83,,28.47
11,D.P. Abhushan,933.2,2130.31,3.38,10.07,0.15,86.61,87.97,73.32,22.93,86.09,101.19,46.05,39.57,-37.75,36.81
12,Marsons,133.2,2292.38,10.56,49.58,0.31,65.03,85.72,67.99,45.54,65.34,149.89,42.46,25.39,-34,29.09
13,Indo Thai Sec.,216.45,2370.59,4.21,35.88,0.28,1601.41,701.94,635.38,288.07,555.38,1114.73,53.95,34.58,25.76,21.34
14,K.P. Energy,351,2379.76,4.49,13.15,0.21,55.23,60.08,81.67,59.87,57.48,71.85,39.89,39.22,-37.62,42.79
15,Advait Energy,2218.5,2427.7,8.78,46.96,0.57,65.24,66.73,60.36,79.03,18.04,55.55,8.29,27.91,31.4,23.88
16,Kwality Pharma,2368,2457.05,7.38,36.13,1.24,68.99,70.65,47.08,35.89,35.81,74.6,0.91,24.25,147.31,18.15
17,Afcom Holdings,922.8,2648.3,5.26,21.76,0.2,140.04,160.47,239.47,144.27,89.59,72.83,19.36,33.49,-3.56,32.93
18,GK Energy,140.8,2855.66,3.27,14.25,0.08,26.69,51.08,52.09,39.98,18.74,31.66,41.24,40.87,,51.66
19,Concord Control,3010,3125.44,14.94,73.72,0.75,82.03,87.2,103.4,69.27,72.57,73.02,0.99,30.64,193.53,27.75
20,Kesar India,1234.1,3714.62,14.14,124.32,0.52,33.59,60.39,70.05,63.7,108.61,808.75,4.14,23.36,100.83,27.82
21,Crizac,214.2,3748.17,6.43,17.08,0.67,43.25,43.76,34.24,22.68,15.02,50.26,44.79,52.34,,43.01
22,Raghav Product.,1007,4624.34,18.91,84.34,2.85,48.32,51.88,39.71,28.76,39.31,49.65,5.57,31.22,35.96,21.57
23,GNG Electronics,447,5096.31,6.71,38.59,0.65,63.33,91.81,67.84,34.01,42.98,185.76,7.9,20.3,,30.7
24,KSH Internationa,821,5562.79,6.89,49.99,0.82,35.76,63.8,56.03,61.13,100.52,87.16,5.38,21.36,,20.94
25,Pricol Ltd,568.05,6923.47,5.52,27.62,0.96,50.22,53.16,50.01,50.11,42.87,109.53,18.26,25.93,32.15,19.72
26,Ashapura Minech.,740.15,7070.42,4.31,17.5,0.35,35.68,37.58,47.06,91.21,254.55,28.03,19.98,20.72,82.82,27.02
27,P N Gadgil Jewe.,550.15,7466.04,3.81,18.1,0.23,87.81,88.27,82.87,41.56,123.16,45.6,25.29,20.92,-1.15,24.39
28,Redtape,135.9,7512.64,7.39,31.23,1.63,41.23,42.14,2.6,19.69,33.51,69.53,16.88,24.11,3.72,26.81
29,Prec. Wires (I),430.3,7866.19,10.19,50.69,1.32,68.45,73.39,86.4,36.08,67.19,85.5,7.96,33.09,135.72,18.75
30,Quality Power El,1020,7899.26,14.53,65.11,0.81,83.49,90.43,170.15,181.38,159.24,72.95,29.32,31.53,122.24,24.58
31,Jeena Sikho,653.35,8121.2,17.29,36.53,0.41,144.79,151.76,178.94,70.85,54.79,78.97,23.14,70.74,53.26,49.65
32,Tips Music,672.1,8591.56,33.02,39.65,0.95,30.16,34.45,33.43,20.86,32.41,92.94,6.39,122.19,-1.8,85.73
33,Manorama Indust.,1462.45,8732.09,12.56,37.43,0.38,107.77,108.27,92.47,76.13,64.21,40.81,17.56,35.45,0.83,29.74
34,Sky Gold & Diam.,571.5,8850.98,7.42,32.13,0.22,96.68,133.07,120.08,77.42,80.64,120.8,3.08,27.02,47.7,27.49
35,Waaree Renewab.,973.2,10154.97,10.87,21.25,0.2,108.74,108.05,106.2,108.51,131.31,60.69,28.36,83.61,-10.54,70.48
